 #      X        DX        X+DX/2
   12.829134     0.164397    12.911333
   12.994114     0.165571    13.076899
   13.160291     0.166792    13.243688
   13.327716     0.168065    13.411748
   13.496439     0.169393    13.581136
   13.666521     0.170780    13.751911
   13.838022     0.172233    13.924138
   14.011010     0.173755    14.097887
   14.185558     0.175354    14.273235
   14.361744     0.177034    14.450261
   14.539655     0.178803    14.629056
   14.719382     0.180667    14.809715
   14.901023     0.182634    14.992340
   15.084687     0.184712    15.177042
   15.270486     0.186907    15.363940
   15.458543     0.189229    15.553158
   15.648989     0.191685    15.744831
   15.841960     0.194281    15.939100
   16.037601     0.197026    16.136114
   16.236063     0.199924    16.336025
   16.437502     0.202981    16.538993
   16.642079     0.206199    16.745179
   16.849955     0.209579    16.954744
   17.061290     0.213118    17.167850
   17.276243     0.216812    17.384649
   17.494963     0.220651    17.605289
   17.717590     0.224623    17.829902
   17.944249     0.228712    18.058605
   18.175046     0.232897    18.291495
   18.410068     0.237156    18.528645
   18.649373     0.241462    18.770104
   18.892998     0.245788    19.015892
   19.140947     0.250108    19.266001
   19.393202     0.254394    19.520398
   19.649715     0.258622    19.779026
   19.910420     0.262773    20.041806
   20.175229     0.266829    20.308643
   20.444042     0.270778    20.579431
   20.716748     0.274615    20.854055
   20.993233     0.278337    21.132402
   21.273384     0.281945    21.414356
   21.557088     0.285447    21.699812
   21.844245     0.288850    21.988670
   22.134759     0.292165    22.280842
   22.428550     0.295405    22.576253
   22.725548     0.298582    22.874839
   23.025697     0.301709    23.176552
   23.328954     0.304799    23.481353
   23.635288     0.307866    23.789221
   23.944681     0.310920    24.100141
   24.257127     0.313973    24.414114
   24.572630     0.317035    24.731148
   24.891204     0.320116    25.051262
   25.212871     0.323225    25.374484
   25.537665     0.326369    25.700849
   25.865623     0.329555    26.030401
   26.196792     0.332792    26.363188
   26.531226     0.336084    26.699268
   26.868982     0.339439    27.038701
   27.210125     0.342860    27.381556
   27.554726     0.346354    27.727903
   27.902860     0.349926    28.077822
   28.254605     0.353579    28.431395
   28.610047     0.357320    28.788707
   28.969276     0.361153    29.149852
   29.332385     0.365081    29.514925
   29.699472     0.369111    29.884027
   30.070641     0.373246    30.257264
   30.446001     0.377491    30.634746
   30.825663     0.381852    31.016589
   31.209745     0.386333    31.402912
   31.598371     0.390940    31.793841
   31.991669     0.395677    32.189507
   32.389771     0.400552    32.590047
   32.792819     0.405568    32.995603
   33.200957     0.410733    33.406324
   33.614338     0.416054    33.822364
   34.033118     0.421536    34.243886
   34.457466     0.427187    34.671059
   34.887552     0.433015    35.104059
   35.323557     0.439027    35.543071
   35.765671     0.445233    35.988287
   36.214090     0.451640    36.439910
   36.669021     0.458258    36.898150
   37.130680     0.465098    37.363229
   37.599294     0.472169    37.835378
   38.075099     0.479483    38.314841
   38.558346     0.487052    38.801872
   39.049293     0.494889    39.296738
   39.548216     0.503006    39.799719
   40.055403     0.511418    40.311112
   40.571156     0.520140    40.831226
   41.095792     0.529189    41.360386
   41.629647     0.538581    41.898938
   42.173074     0.548335    42.447241
   42.726444     0.558470    43.005679
   43.290148     0.569008    43.574652
   43.864601     0.579970    44.154586
   44.450238     0.591381    44.745928
   45.047521     0.603266    45.349154
   45.656937     0.615653    45.964763
   46.279003     0.628570    46.593288
   46.914264     0.642049    47.235289
   47.563300     0.656124    47.891362
   48.226723     0.670831    48.562139
   48.905186     0.686209    49.248290
   49.599378     0.702298    49.950527
   50.310034     0.719144    50.669606
   51.037934     0.736795    51.406331
   51.783908     0.755301    52.161559
   52.548839     0.774718    52.936198
   53.333668     0.795105    53.731220
   54.139394     0.816526    54.547657
   54.967087     0.839048    55.386611
   55.817882     0.862744    56.249254
   56.692992     0.887692    57.136838
   57.593711     0.913975    58.050698
   58.521417     0.941681    58.992257
   59.477579     0.970905    59.963032
   60.463765     1.001745    60.964638
   61.481643     1.034306    61.998796
   62.532988     1.068699    63.067337
   63.619689     1.105036    64.172207
   64.743748     1.143437    65.315467
   65.907291     1.184022    66.499302
   67.112562     1.226913    67.726018
   68.361926     1.272230    68.998041
   69.657869     1.320089    70.317913
   71.002987     1.370599    71.688287
   72.399983     1.423857    73.111911
   73.851644     1.479942    74.591615
   75.360828     1.538909    76.130282
   76.930431     1.600781    77.730821
   78.563354     1.665543    79.396125
   80.262458     1.733128    81.129022
   82.030510     1.803412    82.932216
   83.870118     1.876203    84.808219
   85.783663     1.951233    86.759279
   87.773216     2.028155    88.787294
   89.840460     2.106536    90.893729
   91.986606     2.185865    93.079538
   94.212312     2.265556    95.345090
   96.517625     2.344967    97.690109
   98.901927     2.423419   100.113636
  101.363912     2.500218   102.614021
  103.901587     2.574690   105.188932
  106.512306     2.646207   107.835410
  109.192830     2.714213   110.549937
  111.939409     2.778251   113.328534
  114.747892     2.837974   116.166879
  117.613841     2.893156   119.060419
  120.532653     2.943689   122.004497
  123.499670     2.989577   124.994459
  126.510292     3.030921   128.025752
  129.560058     3.067902   131.094009
  132.644722     3.100761   134.195102
  135.760301     3.129784   137.325193
  138.903114     3.155280   140.480754
  142.069793     3.177571   143.658578
  145.257294     3.196977   146.855782
  148.462888     3.213808   150.069792
  151.684150     3.228359   153.298330
  154.918938     3.240903   156.539389
  158.165370     3.251689   159.791215
  161.421806     3.260944   163.052278
  164.686816     3.268872   166.321252
  167.959166     3.275650   169.596991
  171.237787     3.281439   172.878507
  174.521761     3.286377   176.164950
  177.810298     3.290585   179.455591
  181.102722     3.294167   182.749806
  184.398454     3.297215   186.047062
  187.697000     3.299806   189.346903
  190.997937     3.302008   192.648941
  194.300906     3.303879   195.952846
  197.605601     3.305467   199.258335
  200.911761     3.306816   202.565169
  204.219165     3.307960   205.873145
  207.527623     3.308930   209.182088
  210.836976     3.309754   212.491853
  214.147089     3.310452   215.802315
  217.457845     3.311044   219.113367
  220.769147     3.311546   222.424920
  224.080911     3.311972   225.736897
  227.393068     3.312332   229.049234
  230.705558     3.312638   232.361877
  234.018329     3.312897   235.674777
